term_name,description,field_authority_link,field_date,field_person_alternate_name,field_preferred_name_fuller_form,field_preferred_name_number,field_preferred_name_prefix,field_preferred_name_rest,field_preferred_name_suffix,field_primary_part_of_name,field_unique_id
"Baird, John Logie, 1888-1946",,viaf%%http://viaf.org/viaf/3268201|lcnaf%%http://id.loc.gov/authorities/names/n50020858,1888/1946,,,,,John Logie,,Baird,540bde83-41f0-496b-aebd-623e501e459c
"Baird, Walter S.",,,,,,,,Walter S.,,Baird,e94ad294-3973-4294-bb84-48fe61aeb382
"Baker, Ben",,,,,,,,Ben,,Baker,96333b44-6e72-4bd1-9992-0c75876115af
"Baker, Benjamin M.",,viaf%%http://viaf.org/viaf/1438303|lcnaf%%http://id.loc.gov/authorities/names/n85090054,,,,,,Benjamin M.,,Baker,81097e46-b418-44cb-b09c-82933ab75b8c
"Baker, Russell, 1925-2019",,viaf%%http://viaf.org/viaf/109279127|lcnaf%%http://id.loc.gov/authorities/names/n80090282,1925/2019,,,,,Russell,,Baker,fd02c209-ab21-4724-a609-a7c4391028cc
"Baker, Susan P., 1930-",,,1930/,,,,,Susan P.,,Baker,49220f13-6a60-418d-912e-5567766d8880
"Baker, W. McNeill",,,,,,,,W. McNeill,,Baker,2602c007-414f-4d17-b16b-6677534bc891
"Balachandran, Sanchita",,,,,,,,Sanchita,,Balachandran,668686a9-846e-4c2b-8039-4b84f20f4e59
"Baldrey, Haynsworth, 1885-1946",,lcnaf%%http://id.loc.gov/authorities/names/no2004081231|viaf%%http://viaf.org/viaf/12022666,1885/1946,,,,,Haynsworth,,Baldrey,5731ce3c-be8a-4876-a511-3420659f8c1a
"Baldwin, H. Furlong",,,,,,,,H. Furlong,,Baldwin,20be9696-111d-432c-b2d5-e5fef5fcc88c
"Balestrero, Peter",,,,,,,,Peter,,Balestrero,51ce5f05-2d92-4326-a2e4-ac779e5ad727
"Ball, Frederick K.",,,,,,,,Frederick K.,,Ball,4d90c06a-f84b-408b-8e77-1153fb6cd3d7
"Ball, Gregory F. (Gregory Francis)",,viaf%%http://viaf.org/viaf/256818625|lcnaf%%http://id.loc.gov/authorities/names/n2012046628,,,Gregory Francis,,,Gregory F.,,Ball,716da171-e8cf-45de-80c3-a139486a366c
"Ballentine, Robert",,,,,,,,Robert,,Ballentine,6afeba64-fa00-40a2-ab49-222557c74f78
"Baltimore, George Calvert, Baron, 1580?-1632",,viaf%%http://viaf.org/viaf/33084271|lcnaf%%http://id.loc.gov/authorities/names/n83173967,1580?/1632,,,,Baron,George Calvert,,Baltimore,1eaecf7e-8054-4817-8621-35cd31047bda
"Balton, Jeffres",,,,,,,,Jeffres,,Balton,d143d16b-f811-42bd-86c1-5faa850858ec
"Bamberger, Florence E.",,viaf%%http://viaf.org/viaf/204730007,,,,,,Florence E.,,Bamberger,56244a63-d3a4-4f9f-82fc-b52793620db0
"Banks, William",,viaf%%http://viaf.org/viaf/302388012|lcnaf%%http://id.loc.gov/authorities/names/n97869404,,,,,,William,,Banks,db7d25e8-6021-41cf-aae4-6f7451e448c2
"Barber, James",,,,,,,,James,,Barber,36885ab4-ed10-48de-805f-3592d0ce3591
"Barber, V. P.",,,,,,,,V. P.,,Barber,82f9e52e-061c-4c8e-b8ab-89e65ba9d3aa
Barber,,,,,,,,,,Barber,a39a26a0-4aaa-4289-8283-f3fda03c7053
"Barclay, McKee",,lcnaf%%http://id.loc.gov/authorities/names/no2005068539|viaf%%http://viaf.org/viaf/19413685,,,,,,McKee,,Barclay,060e771b-da9e-49da-b86d-f8585ea3f946
"Bard, Philip, 1898-1977",,viaf%%http://viaf.org/viaf/84133158|lcnaf%%http://id.loc.gov/authorities/names/n85817735,1898/1977,,,,,Philip,,Bard,fa9b3621-50f6-4c21-8851-5ed87cdf29d9
"Barker, Charles A. (Charles Albro), 1904-",,viaf%%http://viaf.org/viaf/10225480|lcnaf%%http://id.loc.gov/authorities/names/n90682097,1904/,,Charles Albro,,,Charles A.,,Barker,df2f13f3-be15-435d-b475-5f70789d2521
Barnum,"Location information: Springfield, OH, OH",,,,,,,,,Barnum,450d155c-513b-498c-9bdf-63243983bba5
"Barondess, Jeremiah A., 1924-",,viaf%%http://viaf.org/viaf/91246574|lcnaf%%http://id.loc.gov/authorities/names/n79100452,1924/,,,,,Jeremiah A.,,Barondess,a9e981bb-1cea-4c57-85a9-8515143747ee
Barrand,"Location information: Liverpool, England, England",,,,,,,,,Barrand,428135d5-28eb-44e2-b3a6-7b2d851c1b59
"Barringer, Deri",,,,,,,,Deri,,Barringer,0f01954c-6a81-4067-a061-fb6c5760d3f7
"Barth, John, 1930-",,viaf%%http://viaf.org/viaf/85932912|lcnaf%%http://id.loc.gov/authorities/names/n50018099,1930/,,,,,John,,Barth,0d789d9c-fb03-4aaa-b838-0eb866688dd1
"Bates, H. E. (Herbert Ernest), 1905-1974",,viaf%%http://viaf.org/viaf/32045124|lcnaf%%http://id.loc.gov/authorities/names/n79149076,1905/1974,,Herbert Ernest,,,H. E.,,Bates,79736f1e-5426-47ec-a0ab-5825b8b71096
"Battle, Pat Clark",,,,,,,,Pat Clark,,Battle,6cfc7f9e-7087-465d-9912-7e9f98b7ae84
"Baughan, Charles",,,,,,,,Charles,,Baughan,85983460-0445-4a16-9f17-1fc8d0eb1be1
"Baum, Ted",,,,,,,,Ted,,Baum,80c77784-07de-4340-8cb4-b4cbec824590
"Bean, Louis H. (Louis Hyman), 1896-1994",,viaf%%http://viaf.org/viaf/161201925|lcnaf%%http://id.loc.gov/authorities/names/n50005731,1896/1994,,Louis Hyman,,,Louis H.,,Bean,fe36803d-8c8f-4c08-b9d5-26a0f07eba8e
"Bearden, Alan J.",,,,,,,,Alan J.,,Bearden,222fdd36-2a2f-48af-9e8b-287bc05c7c06
"Beckwith, J. Carroll (James Carroll), 1852-1917",,lcnaf%%http://id.loc.gov/authorities/names/n85035847|viaf%%http://viaf.org/viaf/52581513,1852/1917,,James Carroll,,,J. Carroll,,Beckwith,e6ec11c2-928c-487b-bade-ca159af2fc9b
"Beethoven, Ludwig van, 1770-1827",,viaf%%http://viaf.org/viaf/32182557|lcnaf%%http://id.loc.gov/authorities/names/n79107741,1770/1827,,,,,Ludwig van,,Beethoven,662374ac-95f8-4bb6-b6ad-db5a5df6a4f6
"Begley, Paul",,,,,,,,Paul,,Begley,e62a41c4-e252-44a3-affb-598b8ce8e8c4
"Belafonte, Harry, 1927-",,viaf%%http://viaf.org/viaf/10032514|lcnaf%%http://id.loc.gov/authorities/names/n84028909,1927/,,,,,Harry,,Belafonte,77379bd4-11f7-428f-8554-7826cfc01281
"Bell, C. M.",,,,,,,,C. M.,,Bell,072b4793-5cdf-46e0-a49b-e3bdb9a43348
"Bell, David L.",,,,,,,,David L.,,Bell,e9c2ba10-218c-4f2f-8eef-b382047ddab6
"Bell, Frederick K.",,,,,,,,Frederick K.,,Bell,20aadf16-9dde-4dfb-936b-e9f11c74dfa4
"Benbow, Camilla Persson",,viaf%%http://viaf.org/viaf/40734545|lcnaf%%http://id.loc.gov/authorities/names/n82215122,,,,,,Camilla Persson,,Benbow,e7079a08-a870-41ca-a187-4014a9b6b16b
"Bendann, Daniel",,,,,,,,Daniel,,Bendann,37be9acc-6932-4520-8316-9d0ec4e872eb
"Benfield, Berlin",,viaf%%http://viaf.org/viaf/43652471|lcnaf%%http://id.loc.gov/authorities/names/n2001126621,,,,,,Berlin,,Benfield,9efc2c1d-5c18-4b4a-bb27-d89109852fa3
"Benjamin, Ilil",,viaf%%http://viaf.org/viaf/1586155769084927880001,,,,,,Ilil,,Benjamin,21730abb-d8a3-4e05-8285-a61d700ad421
"Bennett, Jeanne",,,,,,,,Jeanne,,Bennett,ee5e10c9-7b02-40a2-adb0-b3873aaf2350
"Bennett, Scott, 1939-",,viaf%%http://viaf.org/viaf/39076629|lcnaf%%http://id.loc.gov/authorities/names/no2003120303,1939/,,,,,Scott,,Bennett,85eb7867-9f2c-4c21-adba-110d2e536e75
"Benson, Donald W.",,viaf%%http://viaf.org/viaf/281817518|lcnaf%%http://id.loc.gov/authorities/names/n96802601,,,,,,Donald W.,,Benson,8c7250a3-b1a3-4500-8526-e2bf77b24eb8
"Bentley, Helen Delich",,viaf%%http://viaf.org/viaf/75898974|lcnaf%%http://id.loc.gov/authorities/names/no95021384,,,,,,Helen Delich,,Bentley,4d90540d-3af0-49b9-9e0a-c7508e331802
"Benton, George Stock, 1917-1999",,viaf%%http://viaf.org/viaf/45565296|lcnaf%%http://id.loc.gov/authorities/names/n78081205,1917/1999,,,,,George Stock,,Benton,fb816ab6-863d-4f8b-b01d-3d837e6cb8e9
"Berardesco, Michael",,,,,,,,Michael,,Berardesco,7ee5c0f7-e4e5-4518-96bd-4b3139e919a4
Bergamasco,"Location information: St. Petersburg, Russia, Russia",,,,,,,,,Bergamasco,3f4a7578-c127-4830-b4d1-c0557f273091
"Bergman, Carl",,,,,,,,Carl,,Bergman,aeb9b39d-43f2-4e6d-ba80-8730a048d626
"Berlin, Arthur",,,,,,,,Arthur,,Berlin,e5d25303-2d11-4e31-98ef-3eef9c7e3ea6
"Berlin, Theodore H.",,,,,,,,Theodore H.,,Berlin,9225cdfc-7f7e-489b-b252-b2f6f362be55
"Berman, Edgar",,viaf%%http://viaf.org/viaf/79320219|lcnaf%%http://id.loc.gov/authorities/names/n79043225,,,,,,Edgar,,Berman,e7efbe41-0c51-4f00-a932-93c058bd6fd3
"Berthel, John Hallock",,,,,,,,John Hallock,,Berthel,12dc47cb-f073-4e7f-9c51-7690a89806d1
Bigelow,"Location information: Detroit, MI, MI",,,,,,,,,Bigelow,8e96daf2-800b-4cf3-9cc7-e38c09d6d9f4
"Bill, F. A.",,,,,,,,F. A.,,Bill,f438f259-ba74-44d1-95ce-42f4b77c07f0
