term_name,description,field_authority_link,field_date,field_person_alternate_name,field_preferred_name_fuller_form,field_preferred_name_number,field_preferred_name_prefix,field_preferred_name_rest,field_preferred_name_suffix,field_primary_part_of_name,field_unique_id
"Loewy, Raymond, 1893-1986",,viaf%%http://viaf.org/viaf/46764198|lcnaf%%http://id.loc.gov/authorities/names/n79055260,1893/1986,,,,,Raymond,,Loewy,7644be06-3995-4963-8473-24c8fe3f1259
"Lombardi, John V.",,viaf%%http://viaf.org/viaf/92078172|lcnaf%%http://id.loc.gov/authorities/names/n50041551,,,,,,John V.,,Lombardi,c09a299c-2440-4c77-9359-f85d8eb4aaa3
"London, Ruth",,,,,,,,Ruth,,London,3e5a382b-5bdb-4b59-b573-ff67be1c45a1
"Long, C. N. H. (Cyril Norman Hugh), 1901-1970",,viaf%%http://viaf.org/viaf/84810978|lcnaf%%http://id.loc.gov/authorities/names/no2012024422,1901/1970,,Cyril Norman Hugh,,,C. N. H.,,Long,fa71f8f8-2f75-45d0-ad22-75abd819b2d5
"Long, Donlin M.",,,,,,,,Donlin M.,,Long,9d4b3455-a249-45f0-9982-bc0caf7e1a4e
"Longaker, Richard P.",,viaf%%http://viaf.org/viaf/70174745|lcnaf%%http://id.loc.gov/authorities/names/n50044369,,,,,,Richard P.,,Longaker,849b2e41-d0fa-4a4c-baad-0d259782e678
"Longcope, Warfield T. (Warfield Theobald), 1877-1953",,viaf%%http://viaf.org/viaf/72840145|lcnaf%%http://id.loc.gov/authorities/names/n85244856,1877/1953,,Warfield Theobald,,,Warfield T.,,Longcope,bbef7e87-fa68-49ae-9a90-1cde33f17513
"Lopez, Koyo",,,,,,,,Koyo,,Lopez,cbb697eb-b947-4f74-869d-0381cf63f7c2
Lopez,,,,,,,,,,Lopez,62c8b3ce-d292-4bd1-a737-a703c7e2ceb8
"Lord, John",,,,,,,,John,,Lord,00ec736d-2379-4931-8418-c64623a643c9
"Lordan, John",,,,,,,,John,,Lordan,f390f16b-0c46-49b1-a781-ba2995bf43ed
"Lorentz, Pare",,viaf%%http://viaf.org/viaf/22280095|lcnaf%%http://id.loc.gov/authorities/names/n85245459,,,,,,Pare,,Lorentz,2fe1e70e-5a01-4ea5-9f19-3b606ce4009b
Lorstan,,,,,,,,,,Lorstan,980e03ec-1401-40c3-97ff-900824af5c3d
"Lory, Henry James",,,,,,,,Henry James,,Lory,4b9019b9-4dda-4a7c-9526-510b225e57ea
"Lovejoy, Arthur O. (Arthur Oncken), 1873-1962",,viaf%%http://viaf.org/viaf/32792766|lcnaf%%http://id.loc.gov/authorities/names/n79134147,1873/1962,,Arthur Oncken,,,Arthur O.,,Lovejoy,ad3b98ae-42d7-4d49-ad6e-288f70a07d73
"Lovell, J. L.",,,,,,,,J. L.,,Lovell,b7f813ab-0778-4f1a-9f86-368cc71f84e8
"Lovitt, William",,,,,,,,William,,Lovitt,532bed6e-3677-4682-bb77-4ef193be28be
"Luck, Georg, 1926-2013",,viaf%%http://viaf.org/viaf/98019431|lcnaf%%http://id.loc.gov/authorities/names/n84135296,1926/2013,,,,,Georg,,Luck,6714151c-3df0-4510-802c-7cb231326205
"Lurtz, Casey Marina",,viaf%%http://viaf.org/viaf/28153237879129212669|lcnaf%%http://id.loc.gov/authorities/names/no2018093046,,,,,,Casey Marina,,Lurtz,ef07affc-e7ed-4f7f-8dd2-27ecb12c19e7
"Lusher, Richard",,,,,,,,Richard,,Lusher,401650a9-1257-4ec4-a83f-ceb85fba4f39
"Lyles, Carol",,,,,,,,Carol,,Lyles,bc9ca1e6-e679-4679-a86e-ff547b4af646
M.E.,,,,,,,,,,M.E.,2d6879c2-129d-4470-ac5b-bd5095c316f3
"Maazlo, T.",Spelling of name uncertain.,,,,,,,T.,,Maazlo,1dee52f9-22c7-46be-935b-3a45d981eb8c
"Mac Iver, Douglas J.",,viaf%%http://viaf.org/viaf/98155707115122412347|lcnaf%%http://id.loc.gov/authorities/names/no2019059454,,,,,,Douglas J.,,Mac Iver,4e46fc04-0f79-4d61-a044-f397364d7fa2
"Macaulay, P. Stewart",,,,,,,,P. Stewart,,Macaulay,c422dfbf-5f24-40f8-9ad4-9724ab9e2077
"MacCaulay, H. Berton",,,,,,,,H. Berton,,MacCaulay,52fa992d-7b32-430a-9178-9e4a7d36131a
"MacDonald, Pirie",Location information: New York,,,,,,,Pirie,,MacDonald,7ce8ab20-48c3-4faa-84d8-a1b66fc3827f
"Machlup, Fritz, 1902-1983",,viaf%%http://viaf.org/viaf/101860744|lcnaf%%http://id.loc.gov/authorities/names/n80070350,1902/1983,,,,,Fritz,,Machlup,cfd096fc-3d06-4a8a-ac56-92ae824c758d
"Mackley, Kehl",,,,,,,,Kehl,,Mackley,bdb686fa-1c3c-4e1e-b966-385abf2c4c9d
"Macksey, Richard, 1931-2019",,viaf%%http://viaf.org/viaf/108608261|lcnaf%%http://id.loc.gov/authorities/names/n83186719,1931/2019,,,,,Richard,,Macksey,b0b81ac3-d2ba-4fda-b36c-fe2ab3c39100
"MacNeil, Hermon Atkins, 1866-1947",,lcnaf%%http://id.loc.gov/authorities/names/nr2002036625|viaf%%http://viaf.org/viaf/23221350,1866/1947,,,,,Hermon Atkins,,MacNeil,63b7beec-7468-4af1-9c3d-c72a43e85934
"MacRae, Donald A. (Donald Alexander), 1916-",,viaf%%http://viaf.org/viaf/30793091|lcnaf%%http://id.loc.gov/authorities/names/n78020079,1916/,,Donald Alexander,,,Donald A.,,MacRae,c07237e9-eef0-4f03-a795-4d6f32887ab1
"Maddin, Robert",,viaf%%http://viaf.org/viaf/25455017|lcnaf%%http://id.loc.gov/authorities/names/n85830400,,,,,,Robert,,Maddin,2461c05c-af6f-4b86-9dd5-534d02d67da5
"Maguire, Eunice Dauterman",,viaf%%http://viaf.org/viaf/27196582|lcnaf%%http://id.loc.gov/authorities/names/n88263941,,,,,,Eunice Dauterman,,Maguire,e45b0d1c-57a3-4b04-ad69-c923549db1b3
"Malakis, Émile, 1897-",,viaf%%http://viaf.org/viaf/31660858|lcnaf%%http://id.loc.gov/authorities/names/no2002030992,1897/,,,,,Émile,,Malakis,eab266d4-0ada-4b97-b0b4-b2c41da552e1
"Mall, Franklin P. (Franklin Paine), 1862-1917",,viaf%%http://viaf.org/viaf/5327658|lcnaf%%http://id.loc.gov/authorities/names/n85244858,1862/1917,,Franklin Paine,,,Franklin P.,,Mall,dbd58bd7-c2f1-41fa-814f-7cd0f1addd22
"Mallashuk, Ellis",,,,,,,,Ellis,,Mallashuk,5912bf0b-1c88-43ad-acf0-87f32ac232ed
"Malone, Kemp, 1889-1971",,viaf%%http://viaf.org/viaf/12355507|lcnaf%%http://id.loc.gov/authorities/names/n79043215,1889/1971,,,,,Kemp,,Malone,91326179-985f-446e-84cd-2ec85a731311
"Mandelbaum, Maurice, 1908-1987",,viaf%%http://viaf.org/viaf/73876852|lcnaf%%http://id.loc.gov/authorities/names/n83192691,1908/1987,,,,,Maurice,,Mandelbaum,4b4fe216-b6be-4f26-97a0-1c5d97dda4a6
"Mann, Ralph H.",,,,,,,,Ralph H.,,Mann,c3371d4c-7bb1-486d-89e9-da169c506929
"Mann, W. L.",,,,,,,,W. L.,,Mann,67fcd8f2-c4dc-4465-8c5e-0f97c52b16be
"Manning, Warren H. (Warren Henry), 1860-1938",,lcnaf%%http://id.loc.gov/authorities/names/n82207972|viaf%%http://viaf.org/viaf/67390988,1860/1938,,Warren Henry,,,Warren H.,,Manning,72250c02-e8e1-4a55-8488-f4579f5fcf5a
"Manos, Constantine",Location information: New York,viaf%%http://viaf.org/viaf/74662498,,,,,,Constantine,,Manos,a6983ed7-8697-40e3-b216-c8b09fc04fd5
"Manov, George G.",,,,,,,,George G.,,Manov,921d0908-8434-4c92-9562-23c0652edd28
"Mansfield, Jayne, 1933-1967",,viaf%%http://viaf.org/viaf/74051819|lcnaf%%http://id.loc.gov/authorities/names/n85090675,1933/1967,,,,,Jayne,,Mansfield,54b1824c-8749-462c-9c37-f57d3e925750
"Marceau, Marcel",,viaf%%http://viaf.org/viaf/59086176|lcnaf%%http://id.loc.gov/authorities/names/n79065951,1923/2007,,,,,Marcel,,Marceau,2a042b71-a419-4768-bbb8-c52380046be3
"Marin, Tom",,,,,,,,Tom,,Marin,0a01bcfa-c446-49e7-945a-05d30a6307ce
"Markarian, Don",,,,,,,,Don,,Markarian,7077ad46-2504-4064-abd0-c5ce3e798400
"Marshall, Curtis",,,,,,,,Curtis,,Marshall,4e45ea36-5b00-4085-a842-6dc75b9a054c
"Marshall, E. K. Jr. (Eli Kennerly), 1889-1966",,viaf%%http://viaf.org/viaf/169689799|lcnaf%%http://id.loc.gov/authorities/names/n2011019857,1889/1966,,Eli Kennerly,,,E. K.,Jr.,Marshall,ef164dba-efd3-4df1-99e2-f461656f7155
"Marshall, Jim","Location information: Naval Research Laboratory, Washington, Washington",,,,,,,Jim,,Marshall,275f83df-f4fb-471b-9be2-342c6197b6da
"Marteve, Simon G.",Associated information: Surveyor and Civil Engineer,,,,,,,Simon G.,,Marteve,716b6204-faeb-4955-b0ea-7c680f40ce3b
"Martin, G.",,,,,,,,G.,,Martin,ef12ab3c-82ad-44b1-b458-93ca2cac88a5
"Martin, H. Newell (Henry Newell), 1848-1896",,viaf%%http://viaf.org/viaf/37309903|lcnaf%%http://id.loc.gov/authorities/names/n87145723,1848/1896,,Henry Newell,,,H. Newell,,Martin,a0dd3ca5-5367-4a5c-9a1e-9b0bb06ff518
"Martin, Joseph W. (Joseph William), 1884-1968",,viaf%%http://viaf.org/viaf/15824603|lcnaf%%http://id.loc.gov/authorities/names/n86012082,1884/1968,,Joseph William,,,Joseph W.,,Martin,1390a8c9-e48e-47f8-a592-142e560a6890
"Martin, Lou",,,,,,,,Lou,,Martin,e7f75d18-e6be-4a34-a6be-153f380ae7d8
"Martin, Susan K., 1942-",,viaf%%http://viaf.org/viaf/108330426|lcnaf%%http://id.loc.gov/authorities/names/n80106766,1942/,,,,,Susan K.,,Martin,ee9ded87-9101-4a43-b583-02b0d4f5abf8
"Marxer, Larry C.",,,,,,,,Larry C.,,Marxer,762c9c8d-e3e8-4b92-80b5-771b112ff0eb
"Mason, F. van Wyck (Francis van Wyck), 1901-1978",,viaf%%http://viaf.org/viaf/57912804|lcnaf%%http://id.loc.gov/authorities/names/n80067551,1901/1978,,Francis van Wyck,,,F. van Wyck,,Mason,51b2fdd1-3336-46b5-a1aa-d918782134e5
"Mason, Priscilla",,,,,,,,Priscilla,,Mason,a5f56924-814b-4f3c-9c46-d9a864562058
"Mason, Raymond A.",,,,,,,,Raymond A.,,Mason,2840c86f-6144-4ceb-9b53-6bde41f68e9d
"Mason, William H.",,,,,,,,William H.,,Mason,fe782de8-4016-4178-8f1e-884830df606f
"Matsumoto, Junko",,,,,,,,Junko,,Matsumoto,a5dbb666-726d-4745-bf9f-3b53f9268158
Matt,,,,,,,,,,Matt,d8d5bd27-d996-48e4-888b-5ec6ce4ced34
"Matthews, Robert P.","Location information: Phys. Dept Princeton University, Princeton, NJ, Princeton, NJ",,,,,,,Robert P.,,Matthews,1cb57340-2f7e-4ba1-91d5-9fa2479a05d3
"Mauchly, John W. (John William), 1907-1980",,viaf%%http://viaf.org/viaf/17087495|lcnaf%%http://id.loc.gov/authorities/names/nr92025520,1907/1980,,John William,,,John W.,,Mauchly,a8207ebb-80fe-4f10-98d9-c643833fb7d0
"Maumenee, A. Edward (Alfred Edward), 1913-",,viaf%%http://viaf.org/viaf/22662974|lcnaf%%http://id.loc.gov/authorities/names/n85279086,1913/,,Alfred Edward,,,A. Edward,,Maumenee,19206ccb-ec26-4e45-99a1-99fa67fa9bdb
"Maxcy, Kenneth F. (Kenneth Fuller), 1889-1966",,viaf%%http://viaf.org/viaf/92147160|lcnaf%%http://id.loc.gov/authorities/names/n80070550,1889/1966,,Kenneth Fuller,,,Kenneth F.,,Maxcy,1e24b0bf-7367-4aa5-8d25-e0d79842da00
"Mayer, Maria Goeppert, 1906-1972",,viaf%%http://viaf.org/viaf/72197794|lcnaf%%http://id.loc.gov/authorities/names/n87912011,1906/1972,,,,,Maria Goeppert,,Mayer,9558b235-fca6-4ee3-8e2f-e64b8d8c2c2b
"McCarthy, Joseph, 1908-1957",,viaf%%http://viaf.org/viaf/79397853|lcnaf%%http://id.loc.gov/authorities/names/n79043290,1908/1957,,,,,Joseph,,McCarthy,56259461-f6f8-4720-a6ae-59a6d3043c39
"McCauley, P. Stewart",,,,,,,,P. Stewart,,McCauley,064af1d8-cb83-45f7-8514-d83fc5bb447f
"McClain, Edward",,,,,,,,Edward,,McClain,a19dacd2-2af0-4425-b14c-4bb7646e7ff8
"McClain, William H.",,viaf%%http://viaf.org/viaf/4590907|lcnaf%%http://id.loc.gov/authorities/names/no2002008253,,,,,,William H.,,McClain,d0c1be5c-a6a0-41ec-88bf-673bbd224daa
"McClay, John",,,,,,,,John,,McClay,72a16eef-6a21-47ba-811d-261fa371fc25
"McCleary, Robert A., 1923-",,viaf%%http://viaf.org/viaf/190725383|lcnaf%%http://id.loc.gov/authorities/names/n85821798,1923/,,,,,Robert A.,,McCleary,0b754c69-0819-4490-8b9b-1e952cc65727
"McClure, Frank T., 1916-1973",,,1916/1973,,,,,Frank T.,,McClure,70698269-e657-4891-95f1-810347cd5b29
"McCollum, Elmer Verner, 1879-1967",,viaf%%http://viaf.org/viaf/84859157|lcnaf%%http://id.loc.gov/authorities/names/n89660849,1879/1967,,,,,Elmer Verner,,McCollum,aca1ca67-128b-4b93-b66d-d25462f86672
"McCormick, Charles Perry, 1896-1970",,viaf%%http://viaf.org/viaf/45981352|lcnaf%%http://id.loc.gov/authorities/names/n93101526,1896/1970,,,,,Charles Perry,,McCormick,764a5559-d2c6-4bee-8d8a-a5519473587f
"McCoy, John W.",,viaf%%http://viaf.org/viaf/3455157643256338590005,,,,,,John W.,,McCoy,263bce04-09f7-4630-b8c6-8846eb6b84d5
"McCutcheon, John T. (John Tinney), 1870-1949",,lcnaf%%http://id.loc.gov/authorities/names/n85387779|viaf%%http://viaf.org/viaf/72857584,1870/1949,,John Tinney,,,John T.,,McCutcheon,d50716aa-b72b-4346-b3f9-1d8a25b82d86
"McDaniel, Joseph M.",,,,,,,,Joseph M.,,McDaniel,779658d7-bc9d-424a-bb0f-a32e24e3ade2
"McDill, Edward L. (Edward Lamar)",,viaf%%http://viaf.org/viaf/12434736|lcnaf%%http://id.loc.gov/authorities/names/n88605839,,,Edward Lamar,,,Edward L.,,McDill,39822a29-0db1-40fb-bbcf-21158fedcfe9
"McDonald, William A. (William Andrew), 1913-2000",,viaf%%http://viaf.org/viaf/111563392|lcnaf%%http://id.loc.gov/authorities/names/n85023803,1913/2000,,William Andrew,,,William A.,,McDonald,6f47fae4-ff57-4f49-8d16-286f35abccdf
"McElroy, William David, 1917-1999",,viaf%%http://viaf.org/viaf/76377356|lcnaf%%http://id.loc.gov/authorities/names/n50007373,1917/1999,,,,,William David,,McElroy,aaf827aa-8978-4e14-9751-0693345b4ccb
"McFarland, Thomas J.",,,,,,,,Thomas J.,,McFarland,cd2f7081-d508-4dc5-9a9a-18b5abafe831
"McGarry, Jean",,viaf%%http://viaf.org/viaf/5606148269700105230008|lcnaf%%http://id.loc.gov/authorities/names/n85109377,,,,,,Jean,,McGarry,7a8d9da7-9c01-411a-8ddb-a5173233ffb0
"McGee, James",,,,,,,,James,,McGee,e06ce6cc-c66d-4c8a-92ff-768098a92c11
"McGovern, Gail, 1952-",,viaf%%http://viaf.org/viaf/103494787|lcnaf%%http://id.loc.gov/authorities/names/n2009184909,1952/,,,,,Gail,,McGovern,17e7efc3-627f-4b58-9d94-0a42c9c04a57
"McHugh, Paul R. (Paul Rodney), 1931-",,viaf%%http://viaf.org/viaf/36990427|lcnaf%%http://id.loc.gov/authorities/names/n83056959,1931/,,Paul Rodney,,,Paul R.,,McHugh,bab3ae80-b415-4e8d-8458-2b0eae0b1033
"McKeldin, Theodore R. (Theodore Roosevelt), 1900-1974",,viaf%%http://viaf.org/viaf/5688211|lcnaf%%http://id.loc.gov/authorities/names/n86111301,1900/1974,,Theodore Roosevelt,,,Theodore R.,,McKeldin,ebee81af-ef8a-46b0-9a9a-11f254559c06
"McKusick, Victor A. (Victor Almon), 1921-2008",,viaf%%http://viaf.org/viaf/108609266|lcnaf%%http://id.loc.gov/authorities/names/n85363833,1921/2008,,Victor Almon,,,Victor A.,,McKusick,50589caa-267b-4e2c-a001-eee067a85371
"McKusick, Vincent A.",,,,,,,,Vincent A.,,McKusick,a41e670e-d82d-4ed1-a800-6626fd5f3a9b
"McMann, Martin",,,,,,,,Martin,,McMann,c5be77e4-32a9-48fc-a51a-4d8ce9437a19
"McNall, John",,,,,,,,John,,McNall,47a9ddb0-2b48-4c96-939d-dc237cf45562
"McPartland, James M.",,viaf%%http://viaf.org/viaf/5054532|lcnaf%%http://id.loc.gov/authorities/names/n83156767,,,,,,James M.,,McPartland,96d73e2e-adf9-4dd9-a534-cee0d7510d1a
"McQuaid, Richard",,,,,,,,Richard,,McQuaid,536e29ab-28f0-4da5-8606-88889814fafc
"Mead, Leonard C.",,viaf%%http://viaf.org/viaf/23630015|lcnaf%%http://id.loc.gov/authorities/names/n86144331,,,,,,Leonard C.,,Mead,66be0795-55e4-4900-a599-e487791226fc
"Mears, Elton Y.",,,,,,,,Elton Y.,,Mears,a6b7e4c1-414a-4cba-9556-8e0d37ff0fe1
"Mears, Elton",,,,,,,,Elton,,Mears,48173a7b-2389-4171-9746-3465c74fcdb4
"Meggers, Betty Jane",,viaf%%http://viaf.org/viaf/73952394|lcnaf%%http://id.loc.gov/authorities/names/n80001224,,,,,,Betty Jane,,Meggers,757540f1-33ad-4134-93d8-99bf1ca2f0c2
"Melichar, Walter O.",,,,,,,,Walter O.,,Melichar,d6f1ba38-b42c-4412-8146-48d2f7188cf8
"Melville, Marjorie",,,,,,,,Marjorie,,Melville,8cb97b6f-42c9-47f1-87f5-f2579025bafe
Memy,,,,,,,,,,Memy,537cac59-32f5-4b0d-96b5-0f4c5e9ea98b
"Mencken, H. L. (Henry Louis), 1880-1956",,viaf%%http://viaf.org/viaf/76330588|lcnaf%%http://id.loc.gov/authorities/names/n80036702,1880/1956,,Henry Louis,,,H. L.,,Mencken,0cfd1791-6220-429d-8e35-ea7511e308ea
"Mendenhall, Dorothy Reed, 1874-1964",,viaf%%http://viaf.org/viaf/243049826|lcnaf%%http://id.loc.gov/authorities/names/no95037263,1874/1964,,,,,Dorothy Reed,,Mendenhall,4e37d991-f0d4-4a9a-a081-bb13274d3425
"Mennin, Peter",,viaf%%http://viaf.org/viaf/79169834|lcnaf%%http://id.loc.gov/authorities/names/n82246112,,,,,,Peter,,Mennin,ed7171d4-c140-4c26-ae6d-a0ecb332c9a3
"Menzel, Donald H. (Donald Howard), 1901-1976",,viaf%%http://viaf.org/viaf/109681146|lcnaf%%http://id.loc.gov/authorities/names/n50036999,1901/1976,,Donald Howard,,,Donald H.,,Menzel,2e8be2c4-e6a4-4ada-b9c4-408cfff9a4e0
"Merrick, Robert G.",,viaf%%http://viaf.org/viaf/41463249|lcnaf%%http://id.loc.gov/authorities/names/no98102710,,,,,,Robert G.,,Merrick,e49b0e32-de1b-4f38-b30f-8c6e5b447de9
Mershot,,,,,,,,,,Mershot,6cfc285c-d7de-433e-a6bb-188248c79a6e
Mesny,,,,,,,,,,Mesny,d10b6c00-98ca-44c7-b95b-1e7d84faaf5c
"Mettee, Holmes I.",,,,,,,,Holmes I.,,Mettee,313a5176-ee1b-4ead-a3ad-5d22373c307d
"Meyer, Eugene, 1915-",,viaf%%http://viaf.org/viaf/62816428|lcnaf%%http://id.loc.gov/authorities/names/n79030368,1915/,,,,,Eugene,,Meyer,20d5c7af-7011-4e81-92f9-88b64642d63c
"Miggs, Gary",,,,,,,,Gary,,Miggs,037552b4-0731-4fc1-a21b-176b8cbcde4e
"Mihalas, Dimitri, 1939-",,viaf%%http://viaf.org/viaf/5541235|lcnaf%%http://id.loc.gov/authorities/names/n81012057,1939/,,,,,Dimitri,,Mihalas,3135074e-8e06-4e6c-b9d0-91d1c898e4cb
"Mikulski, Barbara",,viaf%%http://viaf.org/viaf/84614150|lcnaf%%http://id.loc.gov/authorities/names/n96033428,,,,,,Barbara,,Mikulski,2dcfb3d1-c705-463f-9000-aa702bbc3586
"Miller-Jones, Andrew",,,,,,,,Andrew,,Miller-Jones,77b4a2ed-30a1-4427-8f14-3f0dbb23a2a9
"Miller, Alfred Jacob, 1810-1874",,lcnaf%%http://id.loc.gov/authorities/names/n79082222|viaf%%http://viaf.org/viaf/50301638,1810/1874,,,,,Alfred Jacob,,Miller,664ad580-1d98-402f-888c-0f0112ca6850
"Miller, C. Frank",,,,,,,,C. Frank,,Miller,f2bf84d5-1372-4c1c-a96f-7dbaeb5a73f5
"Miller, J. Hillis (Joseph Hillis), 1928-2021",,viaf%%http://viaf.org/viaf/66483274|lcnaf%%http://id.loc.gov/authorities/names/n79145495,1928/2021,,Joseph Hillis,,,J. Hillis,,Miller,d42917b8-ed83-4bdf-af04-83dbfb675998
"Miller, Joseph M.",,,,,,,,Joseph M.,,Miller,dd350e3a-f7ef-46b9-805f-3a2c7d88dee2
"Miller, Joseph Maxwell, 1877-1933",,lcnaf%%http://id.loc.gov/authorities/names/no2010142676|viaf%%http://viaf.org/viaf/144666689,1877/1933,,,,,Joseph Maxwell,,Miller,dfbb969f-3247-4d5a-b6a4-796acd92885d
"Miller, Mark Crispin",,viaf%%http://viaf.org/viaf/7446384|lcnaf%%http://id.loc.gov/authorities/names/n87841189,,,,,,Mark Crispin,,Miller,7b3fbb3a-cc69-4db4-b663-2402b65945af
"Miller, Slator M.",,,,,,,,Slator M.,,Miller,6ffbf398-bb0a-40e1-8ef6-92862d6c2b6f
"Millis, Walter, 1899-1968",,viaf%%http://viaf.org/viaf/66544885|lcnaf%%http://id.loc.gov/authorities/names/n79056011,1899/1968,,,,,Walter,,Millis,3c1321cc-ca08-4438-911d-be7c68e8040d
"Millis, Walter, Jr., 1933-2014",,,1933/2014,,,,,Walter,Jr.,Millis,2435aeae-2178-489f-b501-255dbfb2bf82
"Minard, David, 1913-",,viaf%%http://viaf.org/viaf/48377511|lcnaf%%http://id.loc.gov/authorities/names/n89657304,1913/,,,,,David,,Minard,5ab00c24-0043-4b1e-b12b-7f9a91918897
"Minnick, Robert C.","Location information: Johns Hopkins University #1007, Baltimore 18, Baltimore 18",,,,,,,Robert C.,,Minnick,7087d878-5b4e-435f-83ba-924c833e442d
"Mintz, Sidney W.‏ (Sidney Wilfred), ‏ 1922-2015",,viaf%%http://viaf.org/viaf/98060252|lcnaf%%http://id.loc.gov/authorities/names/n50032622,1922/2015,,Sidney Wilfred,,,Sidney W.,,Mintz,26587f8d-1abc-4b21-8045-e32588d2d000
"Mirowski, M. (Mieczyslaw)",,viaf%%http://viaf.org/viaf/62998809|lcnaf%%http://id.loc.gov/authorities/names/n85279193,,,Mieczyslaw,,,M.,,Mirowski,60c568da-b2a2-4d20-9ce5-3417461ecaf8
"Mitchell, Broadus, 1892-1988",,viaf%%http://viaf.org/viaf/25849064|lcnaf%%http://id.loc.gov/authorities/names/n50033628,1892/1988,,,,,Broadus,,Mitchell,e0330ea1-e6dd-4a43-91f3-e9d0ec14022c
"Mitchell, Bruce C.",Location information: 2610 Orchard Avenue, Ellicott City MD 21043,,,,,,Bruce C.,,Mitchell,a65ef108-3eb9-4705-af64-be98fb107a5e
"Mitchell, Darnell","Location information: Long Beach, CA, CA",,,,,,,Darnell,,Mitchell,c218edb4-a1a9-4372-94ad-e10e57390049
"Mitchell, James W.",,,,,,,,James W.,,Mitchell,3cbdadcb-3edb-461f-af16-4eaf9fa93102
"Mitchell, Vincent",,,,,,,,Vincent,,Mitchell,5804eb00-35e0-4d12-a837-1485feb99139
"Mock, Alois, 1934-2017",,viaf%%http://viaf.org/viaf/112608145|lcnaf%%http://id.loc.gov/authorities/names/n82039888,1934/2017,,,,,Alois,,Mock,c2849ed3-c1f4-45cd-9b69-72ff46c0a340
"Montagna, William",,viaf%%http://viaf.org/viaf/49894453|lcnaf%%http://id.loc.gov/authorities/names/n50003802,,,,,,William,,Montagna,2ebb1099-f65b-45e3-8a36-0385d98d9c71
"Montgomery, Raymond B. (Raymond Braislin), 1910-1988",,viaf%%http://viaf.org/viaf/38126082|lcnaf%%http://id.loc.gov/authorities/names/nr2001008295,1910/1988,,Raymond Braislin,,,Raymond B.,,Montgomery,5821e703-1d71-4066-82c0-a480422070af
"Monty, Kenneth",,,,,,,,Kenneth,,Monty,2f35ce98-6223-487f-b29a-b9b1bbd08a93
"Moore, Chauncey L.","Location information: Springfield, MA, MA",,,,,,,Chauncey L.,,Moore,823b3c5f-815d-410e-82ed-b937b1bffc07
"Moore, Jeffrey P.",,,,,,,,Jeffrey P.,,Moore,19118a51-31ce-4a51-b8d4-c97448316dee
"Moore, Joseph Earle, 1892-1957",,viaf%%http://viaf.org/viaf/2866340|lcnaf%%http://id.loc.gov/authorities/names/n92096645,1892/1957,,,,,Joseph Earle,,Moore,4f0c8bb7-486b-45d3-ba94-1d52ab2ea1dc
"Moorjani, Kishin",,viaf%%http://viaf.org/viaf/164375880|lcnaf%%http://id.loc.gov/authorities/names/n84023643,,,,,,Kishin,,Moorjani,e493b03d-d833-4c57-8c92-50c00505095b
"Moos, H. Warren (Henry Warren), 1936-",,viaf%%http://viaf.org/viaf/37238433|lcnaf%%http://id.loc.gov/authorities/names/n80032188,1936/,,Henry Warren,,,H. Warren,,Moos,6fe42f35-34cf-4df6-b71e-c6c8fc4d3be7
"Moos, Malcolm, 1916-1982",,viaf%%http://viaf.org/viaf/111661086|lcnaf%%http://id.loc.gov/authorities/names/n82081230,1916/1982,,,,,Malcolm,,Moos,c63dd61c-3e6e-41c3-8af9-2634e729a85b
"Morgan, Clifford T., 1915-1976",,viaf%%http://viaf.org/viaf/52087091|lcnaf%%http://id.loc.gov/authorities/names/n79056439,1915/1976,,,,,Clifford T.,,Morgan,b9f1875f-bfc5-4740-8f84-c7a77b440a94
"Morgan, Russell H. (Russell Hedley), 1911-1986",,viaf%%http://viaf.org/viaf/92221783|lcnaf%%http://id.loc.gov/authorities/names/n90661475,1911/1986,,Russell Hedley,,,Russell H.,,Morgan,79ac7726-7faa-48e2-95df-144a7243875d
"Morrill, William Kelso, 1903-",,viaf%%http://viaf.org/viaf/33500032|lcnaf%%http://id.loc.gov/authorities/names/n86857967,1903/,,,,,William Kelso,,Morrill,f647c761-3515-42ac-9553-3281d92b6a0b
"Morse, G. D.","Location information: San Francisco, CA, CA",,,,,,,G. D.,,Morse,f79895bb-fe22-46c2-8c50-6c22cdf86155
"Morse, J. F.",,,,,,,,J. F.,,Morse,b319e838-1f46-4615-bf55-2d00c46b4ee2
"Morton, D. C. (Donald C.)",,viaf%%http://viaf.org/viaf/66008122|lcnaf%%http://id.loc.gov/authorities/names/no00008866,,,Donald C.,,,D. C.,,Morton,563fb7da-30eb-47c6-93e1-e2a100ed4fb5
Morton,,,,,,,,,,Morton,d3b32c73-bd54-41d2-b437-4fb1a6d5adf1
"Moses, Hamilton",,viaf%%http://viaf.org/viaf/77146985|lcnaf%%http://id.loc.gov/authorities/names/n93803665,,,,,,Hamilton,,Moses,55d20746-d10c-46fd-8bcd-57fc589ce93c
"Mottar, Robert M.","Associated information: SCOPE, NY; NY, NY; NY",viaf%%http://viaf.org/viaf/39335074,,,,,,Robert M.,,Mottar,767f56fc-0e34-40cf-8781-b3d6ec4baea1
"Mountcastle, Vernon B.",,viaf%%http://viaf.org/viaf/9977779|lcnaf%%http://id.loc.gov/authorities/names/n79127871,,,,,,Vernon B.,,Mountcastle,248dde5a-1322-4df4-a0e5-37f70439929d
