term_name,description,field_authority_link,field_location_of_meeting,field_num_of_section_or_meet,field_primary_name,field_subordinate_name,field_unique_id
Ford Foundation,,viaf%%http://viaf.org/viaf/131336252|lcnaf%%http://id.loc.gov/authorities/names/n79066088,,,Ford Foundation,,ce2f7017-5e57-4e8e-8d8e-79535185eb87
"Fotographics of Elyria, Inc.",Location information: Ohio|basic_html|Location information: Ohio,,,,"Fotographics of Elyria, Inc.",,8e276ac9-64b5-4c1c-a299-e34f1709e437
Frank Associates,,,,,Frank Associates,,2847a49c-b0cc-41b0-964f-2c9a59d04d65
"Frederick Douglass High School (Baltimore, Md.)",,viaf%%http://viaf.org/viaf/139950920|lcnaf%%http://id.loc.gov/authorities/names/no2009104320,,,"Frederick Douglass High School (Baltimore, Md.)",,86043dcd-e824-4f87-8337-f8a527f7dade
Frick Art Reference Library,,viaf%%http://viaf.org/viaf/123077421|lcnaf%%http://id.loc.gov/authorities/names/n83192952,,,Frick Art Reference Library,,649c642d-40b3-4863-909c-3f0256de8e58
Fund for Adult Education (U.S.),,viaf%%http://viaf.org/viaf/149920363|lcnaf%%http://id.loc.gov/authorities/names/n83029562,,,Fund for Adult Education (U.S.),,4a34dfb6-ee41-4e83-8890-652f969443ab
"Fund for Educational Excellence (Baltimore, Md.)",,viaf%%http://viaf.org/viaf/137342534|lcnaf%%http://id.loc.gov/authorities/names/n91080292,,,"Fund for Educational Excellence (Baltimore, Md.)",,9dd8d577-c2a6-47c3-9483-6bda1521d1e1
FUSE (Artificial satellite),,viaf%%http://viaf.org/viaf/158644195|lcnaf%%http://id.loc.gov/authorities/names/no2006100156,,,FUSE (Artificial satellite),,947c5943-457e-4a53-8346-e3d16b850790
George Jervas Photo Studio,"Location information: New York City, NY|basic_html|Location information: New York City, NY",,,,George Jervas Photo Studio,,4d4f827f-3ec5-4464-9842-def6a00dd933
George Peabody Library,,viaf%%http://viaf.org/viaf/143435344|lcnaf%%http://id.loc.gov/authorities/names/no2006070945,,,George Peabody Library,,0e29bb12-95b9-461c-b457-5af6de3d3980
