term_name,description,field_authority_link,field_geo_alt_name,field_unique_id
Maryland--Baltimore--Inner Harbor,,fast%%http://id.worldcat.org/fast/1323256|geonames%%http://sws.geonames.org/4358981/|viaf%%http://viaf.org/viaf/157276957,,5e9588b1-da0d-474f-8431-5ebc1c93fdb7
Maryland--Baltimore--Mount Vernon Place Historic District,,http://sws.geonames.org/4363179/,,2d4c90bf-a361-4de5-aea5-92308fdc7ff8
Maryland--Baltimore--North Avenue,,fast%%http://id.worldcat.org/fast/1905929,,8957ee71-d3f3-4559-90d7-fa52b494ad9e
Maryland--Baltimore--Patterson Park,,fast%%http://id.worldcat.org/fast/1324998|geonames%%http://sws.geonames.org/4365043/|viaf%%http://viaf.org/viaf/315530079,,fee857b8-e041-4575-a289-8a1d9cda5834
Maryland--Baltimore--Roland Park,,fast%%http://id.worldcat.org/fast/1323591|geonames%%http://sws.geonames.org/4367278/|viaf%%http://viaf.org/viaf/154942866,,786969d2-208e-4c75-bb48-7df8cb840600
Maryland--Cambridge,,fast%%http://id.worldcat.org/fast/1218283|geonames%%http://sws.geonames.org/4350175/|viaf%%http://viaf.org/viaf/235109768,,0788b77c-6245-4ae5-959e-2a6765f95cbb
Maryland--Columbia,,fast%%http://id.worldcat.org/fast/1210701|geonames%%http://sws.geonames.org/4352053/|viaf%%http://viaf.org/viaf/124337924,,10477b87-55df-435c-9935-a066027f0fcc
Maryland--Glen Burnie,,fast%%http://id.worldcat.org/fast/1219214|geonames%%http://sws.geonames.org/4356188/|viaf%%http://viaf.org/viaf/134887196,,448ff8e1-e0a5-40c3-a0a1-333d22bbddec
Maryland--Gwynns Falls,,fast%%http://id.worldcat.org/fast/1240935|geonames%%http://sws.geonames.org/4357123/,,236db515-0941-45dd-8efa-4ebdf926c2f5
Maryland--Walkersville,,fast%%http://id.worldcat.org/fast/1288574|geonames%%http://sws.geonames.org/4372630/|viaf%%http://viaf.org/viaf/124523262,,bbead0e6-03f8-409d-b000-8ff13df65966
Mexico,,fast%%http://id.worldcat.org/fast/1211700|geonames%%http://sws.geonames.org/3996063/,,49836cbb-1f93-44e3-96b7-095b403abb70
Michigan--Battle Creek,,fast%%http://id.worldcat.org/fast/1218610|geonames%%http://sws.geonames.org/4985153/|viaf%%http://viaf.org/viaf/123173405,,2ad11bab-d99a-4a03-b65c-a3f09e3aeedb
Michigan--Detroit,,fast%%http://id.worldcat.org/fast/1205010|geonames%%http://sws.geonames.org/4990729/|viaf%%http://viaf.org/viaf/133676653,,78f8bb78-9334-4954-a76a-8d3e54047c11
